,Lambda,Flux
0,6690.643475191523,121321.90506935837
1,6690.533067622998,121521.75405398919
2,6690.422660054472,122024.17319420229
3,6690.312252485946,121240.89609252808
4,6690.201844917421,122179.28679628093
5,6690.091437348895,121310.87231607822
6,6689.98102978037,124599.35116266304
7,6689.8706222118435,121681.29988984854
8,6689.760214643318,121624.05026519929
9,6689.649807074792,122013.21793918211
10,6689.539399506267,121361.16553304002
11,6689.428991937742,121331.03584994713
12,6689.318584369215,122145.40491471071
13,6689.20817680069,122758.46930774738
14,6689.097769232164,121830.89631643791
15,6688.987361663639,121339.93406259098
16,6688.8769540951125,121583.73531649311
17,6688.766546526587,121815.523341497
18,6688.656138958062,122038.02357298252
19,6688.545731389536,122153.33179744097
20,6688.435323821011,122581.25710862383
21,6688.324916252484,121572.2852953789
22,6688.214508683959,122143.81702406706
23,6688.104101115434,121728.43288953857
24,6687.993693546908,121552.07163475585
25,6687.883285978382,121840.5410821068
26,6687.772878409856,121437.95870197823
27,6687.662470841331,122008.36217881436
28,6687.552063272805,123044.13534113813
29,6687.44165570428,122071.81181860996
30,6687.331248135754,122344.91565234412
31,6687.220840567228,122027.64185919003
32,6687.110432998703,121933.36980593299
33,6687.000025430177,121539.31669999818
34,6686.8896178616515,121394.77080808512
35,6686.779210293125,123384.06766672808
36,6686.6688027246,123039.30407485773
37,6686.558395156075,121398.08893248576
38,6686.447987587549,122271.51163490093
39,6686.337580019023,122157.62785347491
40,6686.227172450497,122880.24564812648
41,6686.116764881972,123297.41311986613
42,6686.006357313446,121423.18137338579
43,6685.8959497449205,123993.53553769641
44,6685.785542176395,122991.90123899393
45,6685.675134607869,123202.28437635403
46,6685.564727039344,121945.50944000017
47,6685.454319470818,122646.39373915289
48,6685.343911902292,122524.33324566904
49,6685.233504333766,121917.3017638396
50,6685.123096765241,122590.42321255652
51,6685.012689196716,122355.6138124397
52,6684.9022816281895,121507.67758043749
53,6684.791874059664,121772.84170053898
54,6684.681466491138,122388.4412168009
55,6684.571058922613,121733.38735301147
56,6684.460651354087,122849.00273664981
57,6684.350243785561,121753.04925595125
58,6684.239836217036,122150.06480318066
59,6684.12942864851,121475.60200130029
60,6684.019021079985,122332.33893125688
61,6683.9086135114585,121254.94518200068
62,6683.798205942933,122009.23388757803
63,6683.687798374408,121322.98573330104
64,6683.577390805882,123207.76486619061
65,6683.4669832373565,123143.88330138053
66,6683.35657566883,122562.06377803782
67,6683.246168100305,122864.86166213751
68,6683.135760531779,123281.44024309954
69,6683.025352963254,122336.38177499044
70,6682.914945394728,122569.15230929584
71,6682.804537826202,122171.23815866893
72,6682.694130257677,122358.69162018773
73,6682.583722689151,122917.41163850909
74,6682.473315120626,122680.21692973975
75,6682.362907552099,122906.93767687702
76,6682.252499983574,123063.06636595084
77,6682.142092415049,122629.67288082771
78,6682.031684846523,122833.42778190457
79,6681.921277277997,122655.44367544107
80,6681.810869709471,122599.2134731235
81,6681.700462140946,122831.81244824792
82,6681.59005457242,123037.42634161176
83,6681.479647003895,123218.32694641576
84,6681.369239435369,122739.25758108588
85,6681.258831866843,122891.3426593878
86,6681.148424298318,123946.4866769545
87,6681.038016729792,125105.24214646299
88,6680.927609161266,122689.82750880164
89,6680.81720159274,122320.38801961209
90,6680.706794024215,123154.65034589694
91,6680.59638645569,123002.12359932894
92,6680.485978887164,122777.91098928021
93,6680.375571318638,123693.923891401
94,6680.265163750112,123725.72683689395
95,6680.154756181587,123294.79526789929
96,6680.044348613062,121859.10444742025
97,6679.9339410445355,123256.83802230516
98,6679.82353347601,122801.8046650913
99,6679.713125907484,122374.29682876788
100,6679.602718338959,122293.39379163666
101,6679.492310770433,122628.46809081285
102,6679.381903201907,122395.62408931012
103,6679.271495633382,123576.22063418811
104,6679.161088064856,122796.71448679511
105,6679.050680496331,122071.82196216844
106,6678.9402729278045,122836.41947723168
107,6678.829865359279,122947.4037558837
108,6678.719457790753,122960.29346538757
109,6678.609050222228,122185.45748539206
110,6678.4986426537025,123643.34039577075
111,6678.388235085176,122360.38429895377
112,6678.277827516651,123806.42881751846
113,6678.167419948125,122984.19000924804
114,6678.0570123796,122465.54273368743
115,6677.9466048110735,123064.58794036634
116,6677.836197242548,123112.38780839478
117,6677.725789674023,122125.74973772037
118,6677.615382105497,122747.72301810462
119,6677.5049745369715,121910.33593217825
120,6677.394566968445,123029.07003876544
121,6677.28415939992,123651.45927227865
122,6677.173751831394,122341.60890815676
123,6677.063344262869,122930.9720042991
124,6676.952936694343,124583.04200832543
125,6676.842529125817,124047.72779998362
126,6676.732121557292,122418.10214905877
127,6676.621713988766,123344.02366402511
128,6676.5113064202405,123182.33976869726
129,6676.400898851715,122617.49581240784
130,6676.290491283189,123654.82829010773
131,6676.180083714664,122469.46678841655
132,6676.069676146138,123556.85819494425
133,6675.959268577612,123416.75611139726
134,6675.848861009086,123355.10020056271
135,6675.738453440561,123836.49191313429
136,6675.628045872036,124210.23317930462
